id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
947,61897,TUR,26,2.62E-05,0.1412,1.0445,0.009067398
948,261537,TUR,85,0.002578495,0.6354,1.2495,0.229937396
949,21643,TUR,20,7.04E-06,0.1142,1.0284,0.004563422
950,235226,TUR,110,0.005488553,0.7946,1.2346,0.306148011
951,16671,TUR,15,2.74E-05,0.0898,1.0189,0.002169925
952,97925,TUR,25,6.50E-05,0.1339,1.0384,0.00750745
953,149716,TUR,68,0.001934573,0.4822,1.2274,0.150681793
954,580,TUR,7,0,0.0538,1.0031,0.000179449
955,2354,TUR,16,3.98E-05,0.0924,1.021,0.002471755
956,2370,TUR,11,5.95E-05,0.0691,1.0093,0.00076044
957,1700,TUR,6,0,0.0501,1.0022,0.00011865
959,11028,TUR,8,1.72E-05,0.0558,1.0035,0.000218826
960,1700,TUR,6,0,0.0501,1.0022,0.00011865
961,10781,TUR,5,1.60E-06,0.0481,1.0015,7.67E-05
962,7573,GEO,4,0,0.0448,1.0007,3.42E-05
963,16779,GEO,11,3.96E-05,0.0691,1.0093,0.00076044
964,6384,KIR,20,0.00063899,0.1142,1.0284,0.004563422
965,390,CXR,3,0,0.0427,1.0004,1.89E-05
966,6695,FSM,19,2.43E-05,0.1094,1.0268,0.00404895
967,6695,FSM,19,2.43E-05,0.1094,1.0268,0.00404895
968,10778,PLW,14,0,0.0847,1.0167,0.00176881
969,6695,FSM,19,2.43E-05,0.1094,1.0268,0.00404895
970,13079,MHL,34,0.001085864,0.201,1.0817,0.024160347
971,1306,MHL,11,0,0.0691,1.0093,0.00076044
972,6695,MHL,19,2.43E-05,0.1094,1.0268,0.00404895
973,10778,FSM,14,0,0.0847,1.0167,0.00176881
974,33853,GUM,34,0.000164913,0.201,1.0817,0.024160347
975,12084,MNP,19,2.43E-05,0.1094,1.0268,0.00404895
976,37239,USA,30,0.000132311,0.1669,1.0543,0.013956645
977,2126928,USA,141,0.013478551,0.8889,1.1637,0.320903134
