iterations,Alpha,pval
985,2.2351,0.539460539
986,2.2609,0.21978022
987,2.1867,0.154845155
988,2.2102,0.304695305
989,2.1696,0.274725275
990,2.2801,0.177822178
991,2.1921,0.136863137
992,2.2498,0.595404595
993,2.2861,0.418581419
994,2.2906,0.569430569
995,2.1609,0.071928072
996,2.1335,0.076923077
997,2.2029,0.104895105
998,2.1024,0.13986014
999,2.2557,0.707292707
